id,name_ko,name_en,thumbnail_url,summary,history,size_type,avg_life_expectancy,avg_weight,popularity_score,energy_level,shedding_level,barking_level
050596c5-5a0d-49ea-8682-aa2a4f0eaec3,살루키,Saluki,https://cdn2.thedogapi.com/images/fjFIuehNo.jpg,"냉정하고, 내성적이며, 지적이고, 조용함","기원전 6000-7000년경까지 거슬러 올라가는, 현존하는 가장 오래된 견종 중 하나입니다. 고대 이집트에서는 '파라오의 로열 도그'로 불리며 왕족과 함께 미라로 만들어지기도 했습니다. 이슬람 문화권에서는 다른 개들과 달리 '알라의 선물'로 여겨져 신성하게 다루어졌으며, 유목민인 베두인족에게는 가젤과 같은 빠른 동물을 사냥하는 중요한 동반자였습니다. 19세기 후반, 중동에서 복무하던 영국 장교들에 의해 유럽에 처음 소개되었습니다.",중형,"[12,14)","[16,29)",15,4,2,1
077f6f02-9d12-470d-be6c-5e7a6887555b,포메라니안,Pomeranian,https://cdn2.thedogapi.com/images/HJd0XecNX.jpg,"외향적, 친절함, 사교적, 장난기 많음, 지적, 활동적","북극의 썰매견 후손으로, 현재의 독일과 폴란드에 걸쳐 있는 포메라니아 지역에서 유래했습니다. 초기에는 몸무게가 14kg에 달하는 중형견이었지만, 19세기 영국 빅토리아 여왕이 이탈리아 여행 중 만난 작은 포메라니안 '마르코'에게 매료되어 작은 크기의 품종을 선호하게 되면서 현재의 소형견으로 개량되었습니다. 여왕의 영향으로 털 색깔 또한 기존의 흰색, 검은색에서 붉은색과 오렌지색이 유행하게 되었습니다.",소형,"[12,16)","[1,3)",95,3,3,4
08d09969-a3ec-4861-a7b9-ada750d5a0af,복서,Boxer,https://cdn2.thedogapi.com/images/ry1kWe5VQ.jpg,"활기찬, 장난기 많은, 충성심 높은, 보호 본능, 지능적인","독일의 불렌바이서(Bullenbeisser)와 영국의 불독을 교배하여 19세기 후반에 탄생했습니다. 멧돼지 같은 큰 사냥감을 사냥하는 역할을 했으며, 1895년 뮌헨에서 첫 도그쇼에 등장하며 공식적인 역사가 시작되었습니다. 1, 2차 세계대전에서 군용견으로 활약하며 전 세계적으로 알려졌습니다.",중형,"[8,10)","[23,32)",75,5,3,3
091bef7d-eec1-498d-aa6f-dc17c31fb16a,카타훌라 레오파드 독,Catahoula Leopard Dog,https://cdn2.thedogapi.com/images/BJcNbec4X.jpg,"독립적인, 충성심 높은, 보호 본능, 지능적인, 높은 에너지","16세기 스페인 탐험가들이 데려온 개와 북미 원주민의 개가 교배하여 탄생한, 북미 최초의 품종 중 하나로 여겨집니다. 루이지애나의 늪지대에서 야생 돼지를 사냥하고 가축을 몰기 위해 길러졌으며, 1979년 루이지애나의 주견으로 지정되었습니다.",중형,"[10,12)","[23,43)",10,3,3,3
0b26b778-573b-4afe-8935-fa965c59315d,푸들,Poodle,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSP31Pgo8vR_WHmvjIOhCSuPnzddElsYW6i6HI6C4lNI2Gz6J6DclMVqosEEi5G78B8j7O0ka04uwKtORdf1qO-lSci6I64tRPqun3Lw35aLQ,"매우 지능적인, 다정한, 활기찬, 훈련 용이성, 사교적인","프랑스의 국견으로 유명하지만, 기원은 독일의 물새 사냥개 '푸델(Pudel)'입니다. 상징적인 푸들 클립은 물에서의 저항을 줄이고 주요 관절을 보호하기 위한 실용적인 목적에서 시작되었습니다. 이후 스탠다드, 미니어처, 토이 등 다양한 크기로 개량되었습니다.",소형,"[14,18)","[5,7)",95,4,1,2
0c844132-0fca-4c1f-bce5-17ce3dbf9af2,베르네즈 마운틴 독,Bernese Mountain Dog,https://cdn2.thedogapi.com/images/S1fFlx5Em.jpg,"온화한, 다정한, 충성심 높은, 침착한, 인내심 강한","2000년 전 로마 군단이 스위스로 데려온 마스티프 타입의 개가 조상입니다. 스위스 베른 지역의 농장에서 우유 수레를 끌고 가축을 모는 등 다목적 작업견으로 활약했으며, 19세기 후반 멸종 위기에 처했으나 스위스 애호가들의 노력으로 복원되었습니다.",대형,"[7,10)","[29,54)",10,3,5,3
0e170077-b49a-4d94-a242-3b9010bd32c1,티베탄 마스티프,Tibetan Mastiff,https://cdn2.thedogapi.com/images/SkM9sec47.jpg,"강한 의지, 끈기, 냉정함, 완고함, 지적, 보호적","기원전 1100년경부터 기록이 남아있는 고대 품종으로, 히말라야의 유목민들과 함께하며 가축과 재산을 지키는 역할을 했습니다. 티베트에서는 '묶어두는 개'라는 뜻의 '도-키(Do-Khyi)'로 불렸는데, 이는 낮에는 집 문에 묶어두었다가 밤에 풀어 경비를 서게 한 관습에서 유래했습니다. 티베트의 고립된 환경 덕분에 수 세기 동안 순수 혈통을 유지했으며, 현존하는 대부분의 마스티프 및 산악견 품종의 조상으로 여겨집니다. 1847년, 인도 총독이 빅토리아 여왕에게 선물하면서 서양에 처음 소개되었습니다.",대형,"[10,14)","[39,64)",20,3,3,2
0f05e6a4-f0d4-4290-85e0-38ef0a869299,차이니스 크레스티드,Chinese Crested,https://cdn2.thedogapi.com/images/B1pDZx9Nm.jpg,"다정한, 사교적인, 활기찬, 지능적인, 예민한","이름과 달리 아프리카나 멕시코의 헤어리스 독이 기원으로 추정됩니다. 중국 선원들이 배의 해충을 잡기 위해 태우고 다니며 전 세계 항구로 퍼뜨렸고, 이후 미국 브리더들의 노력으로 현재의 품종이 정립되어 1991년 AKC에 공식 인정받았습니다.",소형,"[10,14)","[5,6)",10,3,2,3
0f36f485-08ad-4980-a61b-46d0f63eb9a0,라사압소,Lhasa Apso,https://cdn2.thedogapi.com/images/SJp7Qe5EX.jpg,"안정적이고, 두려움이 없고, 친절하고, 헌신적이며, 단호하고, 활기차고, 활기차고, 기민하고, 순종적이며, 장난기 많고, 지적인","2000년 이상의 역사를 가진 고대 품종으로, 티베트의 히말라야 산맥에서 유래했습니다. 티베트어로 '수염 난 사자개'를 의미하는 '압소 셍 키(Apso Seng Kyi)'로 불렸으며, 주로 사원과 궁전 내부에서 경비견 역할을 했습니다. 라마승의 영혼이 환생한다고 여겨져 신성하게 다루어졌고, 판매되지 않고 오직 행운의 상징으로 선물되었습니다. 1933년, 13대 달라이 라마가 미국의 탐험가에게 선물하면서 서양에 처음 소개되었습니다.",소형,"[12,15)","[5,8)",15,3,2,3
10310af4-33ff-4b2a-9dca-0b2363c90152,바셋 하운드,Basset Hound,https://cdn2.thedogapi.com/images/Sy57xx9EX.jpg,"온화한, 느긋한, 다정한, 사교적인, 끈기 있는","6세기 프랑스에서 유래한 고대 하운드 품종입니다. 이름은 '낮다'는 의미의 프랑스어 'bas'에서 왔으며, 프랑스 혁명 이후 도보 사냥꾼들을 위해 짧은 다리를 가진 품종으로 개량되었습니다. 뛰어난 후각으로 작은 사냥감을 추적하는 데 사용되었습니다.",중형,"[12,15)","[23,29)",30,1,4,3
